,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,23.39,18437.88431140034,-659.6383232550305,5.0,8.04,3.0,-15428.940380935164,15428.940380935164,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
1,23.67,18253.18558088893,-659.6383232550305,5.0,8.04,3.0,-15613.639111446573,15613.639111446573,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
2,23.41,18424.69154493524,-659.6383232550305,5.0,8.04,3.0,-15442.133147400264,15442.133147400264,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
3,22.69,18899.631137678858,-659.6383232550305,5.0,8.04,3.0,-14967.193554656644,14967.193554656644,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
4,22.36,19117.31178435302,-659.6383232550305,5.0,8.04,3.0,-14749.512907982482,14749.512907982482,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
5,21.56,19645.022442957048,-659.6383232550305,5.0,8.04,3.0,-14221.802249378457,14221.802249378457,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
6,22.83,18807.281772423157,-659.6383232550305,5.0,8.04,3.0,-15059.542919912346,15059.542919912346,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
7,22.84,18800.685389190607,-659.6383232550305,5.0,8.04,3.0,-15066.139303144897,15066.139303144897,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
8,23.3,18497.25176049329,-659.6383232550305,5.0,8.04,3.0,-15369.57293184221,15369.57293184221,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
9,24.22,17890.384503098667,-659.6383232550305,5.0,8.04,3.0,-15976.440189236839,15976.440189236839,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
10,24.32,17824.420670773165,-659.6383232550305,5.0,8.04,3.0,-16042.404021562343,16042.404021562343,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
11,27.12,15977.433365659075,-659.6383232550305,5.0,8.04,3.0,-17889.39132667643,17889.39132667643,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
12,27.39,15799.331018380217,-659.6383232550305,5.0,8.04,3.0,-18067.493673955287,18067.493673955287,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
13,25.91,16775.595736797663,-659.6383232550305,5.0,8.04,3.0,-17091.22895553784,17091.22895553784,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
14,26.09,16656.860838611756,-659.6383232550305,5.0,8.04,3.0,-17209.963853723744,17209.963853723744,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
15,25.81,16841.55956912317,-659.6383232550305,5.0,8.04,3.0,-17025.265123212335,17025.265123212335,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
16,26.18,16597.493389518808,-659.6383232550305,5.0,8.04,3.0,-17269.3313028167,17269.3313028167,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
17,28.94,14776.89161733492,-659.6383232550305,5.0,8.04,3.0,-19089.933075000583,19089.933075000583,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
18,30.47,13767.644982754722,-659.6383232550305,5.0,8.04,3.0,-20099.179709580778,20099.179709580778,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
19,29.02,14724.12055147452,-659.6383232550305,5.0,8.04,3.0,-19142.704140860984,19142.704140860984,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
20,27.67,15614.632287868808,-659.6383232550305,5.0,8.04,3.0,-18252.192404466696,18252.192404466696,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
