,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,51.8995,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,98457
1,29.0592,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
2,21.6044,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
3,19.2574,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
4,13.7991,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
5,10.1304,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
6,11.7089,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
7,10.3761,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
8,7.3122,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
9,1.4592,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
10,19.3011,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
11,21.5813,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
12,26.4114,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
13,27.762,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
14,28.2766,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
15,30.8325,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
16,32.0608,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
17,25.9138,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
18,24.2744,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
19,22.6858,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
20,22.3205,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
21,21.8324,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
22,19.9892,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
23,17.2067,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
24,6.1916,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
25,6.7112,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
26,7.9729,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
27,7.9182,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
28,11.0219,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
29,16.6447,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
30,14.8541,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
31,16.5867,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
32,17.519,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
33,17.7717,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
34,21.0398,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
35,22.2517,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
36,19.7348,-25278.538812785388,0,0,7.05,1.0,0,0,0,0,0,25278.538812785388,0,0,0,1,0,0
